{'reward_ctrl': -0.19475688626170531, 'reward_dist': -0.11215734920258476}
{'reward_ctrl': -1.078379804935738, 'reward_dist': -0.1112471147279365}
{'reward_ctrl': -0.76569387047834925, 'reward_dist': -0.12737726268215338}
{'reward_ctrl': -0.74770948544057603, 'reward_dist': -0.15802306203642666}
{'reward_ctrl': -0.1619238283724681, 'reward_dist': -0.16925921303377769}
{'reward_ctrl': -0.90805168669528047, 'reward_dist': -0.16387058803120469}
{'reward_ctrl': -0.23791137865633236, 'reward_dist': -0.15539056938863377}
{'reward_ctrl': -0.66169912317242296, 'reward_dist': -0.14705108482827303}
{'reward_ctrl': -0.76025238176264232, 'reward_dist': -0.14288029507148736}
{'reward_ctrl': -0.24377384133677732, 'reward_dist': -0.13822235462161842}
{'reward_ctrl': -0.72948109348692169, 'reward_dist': -0.12890690127879426}
{'reward_ctrl': -0.57887002717867442, 'reward_dist': -0.1175261697150136}
{'reward_ctrl': -0.9511250204625693, 'reward_dist': -0.10886200206190658}
{'reward_ctrl': -1.4141124565025895, 'reward_dist': -0.10780562262473235}
{'reward_ctrl': -0.33806021261352404, 'reward_dist': -0.23033399408816324}
{'reward_ctrl': -1.0757379171199115, 'reward_dist': -0.23049200197153169}
{'reward_ctrl': -0.27569968990693222, 'reward_dist': -0.23268323322031467}
{'reward_ctrl': -0.054768220010652707, 'reward_dist': -0.23581639598932114}
{'reward_ctrl': -1.1266617984423699, 'reward_dist': -0.23839321180288614}
{'reward_ctrl': -0.4911787757981535, 'reward_dist': -0.2407505230767765}
{'reward_ctrl': -0.32329508064024892, 'reward_dist': -0.24196150626756441}
{'reward_ctrl': -0.43672053331063959, 'reward_dist': -0.24216507166224921}
{'reward_ctrl': -0.60737970669933361, 'reward_dist': -0.24241781788801481}
{'reward_ctrl': -0.73116119867331308, 'reward_dist': -0.24279449431803213}
{'reward_ctrl': -0.20296497825821075, 'reward_dist': -0.24161074268766874}
{'reward_ctrl': -0.91498183734615113, 'reward_dist': -0.23671536074103919}
{'reward_ctrl': -0.068470278570190141, 'reward_dist': -0.22622364500113754}
{'reward_ctrl': -1.0821909357189863, 'reward_dist': -0.20796046535264487}
{'reward_ctrl': -0.27889189242965273, 'reward_dist': -0.18618512872765827}
{'reward_ctrl': -0.076006157786937228, 'reward_dist': -0.16523782193087602}
{'reward_ctrl': -0.69427671150482939, 'reward_dist': -0.14377249772274589}
{'reward_ctrl': -0.052611789865213851, 'reward_dist': -0.12452907362811322}
{'reward_ctrl': -0.1159789352857989, 'reward_dist': -0.10712228644967497}
{'reward_ctrl': -0.11135534297412267, 'reward_dist': -0.087044394674326619}
{'reward_ctrl': -0.6991562437851061, 'reward_dist': -0.065735507939736121}
{'reward_ctrl': -0.63086889607169672, 'reward_dist': -0.045199248867459692}
{'reward_ctrl': -0.54130125370420568, 'reward_dist': -0.024853095735649866}
{'reward_ctrl': -1.3431368194482984, 'reward_dist': -0.016351242691089462}
{'reward_ctrl': -1.1789906815768527, 'reward_dist': -0.033192983544215598}
{'reward_ctrl': -1.033613140882482, 'reward_dist': -0.053886962779186212}
{'reward_ctrl': -0.50906012816335089, 'reward_dist': -0.061151526080196812}
{'reward_ctrl': -1.0504845319175655, 'reward_dist': -0.06147312811474219}
{'reward_ctrl': -0.39687941787562869, 'reward_dist': -0.061826158530416009}
{'reward_ctrl': -0.77692807247596063, 'reward_dist': -0.062699047345756376}
{'reward_ctrl': -0.16454561119247271, 'reward_dist': -0.064268768535215515}
{'reward_ctrl': -0.73417879203603131, 'reward_dist': -0.067730339954046759}
{'reward_ctrl': -1.4108668807118527, 'reward_dist': -0.072730176584239525}
{'reward_ctrl': -1.0321171120420662, 'reward_dist': -0.0770290841418758}
{'reward_ctrl': -0.642890910638241, 'reward_dist': -0.079539501520370134}
{'reward_ctrl': -0.79622866975236339, 'reward_dist': -0.083375135070086925}
{'reward_ctrl': -1.2872933899346544, 'reward_dist': -0.092038005923977664}
{'reward_ctrl': -0.64990367527992743, 'reward_dist': -0.10675009085914773}
{'reward_ctrl': -0.8286787859137843, 'reward_dist': -0.12658792239348393}
{'reward_ctrl': -1.0438401424645893, 'reward_dist': -0.14515829038023365}
{'reward_ctrl': -0.50874804287033593, 'reward_dist': -0.16316843058526617}
{'reward_ctrl': -0.29865771193922802, 'reward_dist': -0.18171197790284083}
{'reward_ctrl': -0.80612014045221336, 'reward_dist': -0.19884910333501615}
{'reward_ctrl': -0.037414001997979965, 'reward_dist': -0.21534147969926815}
{'reward_ctrl': -0.35328333277633583, 'reward_dist': -0.2292838637559062}
{'reward_ctrl': -0.37819840874093025, 'reward_dist': -0.2414098457170768}
{'reward_ctrl': -1.1837666021538076, 'reward_dist': -0.2520873562724773}
{'reward_ctrl': -0.22990247096696792, 'reward_dist': -0.25891325251192771}
{'reward_ctrl': -0.53857409236456433, 'reward_dist': -0.26248069340859254}
{'reward_ctrl': -0.79855760850880875, 'reward_dist': -0.26396107448357958}
{'reward_ctrl': -0.2958862225384169, 'reward_dist': -0.22168634759381414}
{'reward_ctrl': -0.47039366491872747, 'reward_dist': -0.22159078916747979}
{'reward_ctrl': -1.6528127708495042, 'reward_dist': -0.22113522909637573}
{'reward_ctrl': -0.1373029975503012, 'reward_dist': -0.21964513528163146}
{'reward_ctrl': -0.63474461363053369, 'reward_dist': -0.21708098718854762}
{'reward_ctrl': -1.2823184031071437, 'reward_dist': -0.21475058394123014}
{'reward_ctrl': -0.33044319071883588, 'reward_dist': -0.21305720296910921}
{'reward_ctrl': -1.1861399722855257, 'reward_dist': -0.21109269034529429}
{'reward_ctrl': -0.18389795983856352, 'reward_dist': -0.20837698855866438}
{'reward_ctrl': -0.46957196904283383, 'reward_dist': -0.20481951572894172}
{'reward_ctrl': -0.62201930792617943, 'reward_dist': -0.20155021791017963}
{'reward_ctrl': -0.56046050080298415, 'reward_dist': -0.20060708824191748}
{'reward_ctrl': -1.2153801765432379, 'reward_dist': -0.20143015650168847}
{'reward_ctrl': -0.46435094225678852, 'reward_dist': -0.20314803045440274}
{'reward_ctrl': -1.0137393950156368, 'reward_dist': -0.20433891412448654}
{'reward_ctrl': -0.57093895027910868, 'reward_dist': -0.20552359534080344}
{'reward_ctrl': -0.90130849212400255, 'reward_dist': -0.20621934329250999}
{'reward_ctrl': -0.36498414151844227, 'reward_dist': -0.20563139768820621}
{'reward_ctrl': -0.068639774237171255, 'reward_dist': -0.20432460562579885}
{'reward_ctrl': -0.22792206021730432, 'reward_dist': -0.20249480952623125}
{'reward_ctrl': -1.1146911326624354, 'reward_dist': -0.20041962048391004}
{'reward_ctrl': -0.54270364693566242, 'reward_dist': -0.19855170358241367}
{'reward_ctrl': -0.2313268268298459, 'reward_dist': -0.19668735673884327}
{'reward_ctrl': -0.41836644077547658, 'reward_dist': -0.19434754200361493}
{'reward_ctrl': -0.50510306590142495, 'reward_dist': -0.19101635380093357}
{'reward_ctrl': -0.85931191948145025, 'reward_dist': -0.18597818450298004}
{'reward_ctrl': -0.52892434457963211, 'reward_dist': -0.18117684681422122}
{'reward_ctrl': -1.3461059822143338, 'reward_dist': -0.17826597461932187}
{'reward_ctrl': -0.039441040571284516, 'reward_dist': -0.17472539217415867}
{'reward_ctrl': -1.0263514737751323, 'reward_dist': -0.16966035443657998}
{'reward_ctrl': -0.90773861563909231, 'reward_dist': -0.16346412642016123}
{'reward_ctrl': -1.6733429484840192, 'reward_dist': -0.15388975715761366}
{'reward_ctrl': -0.44073526416262498, 'reward_dist': -0.1439181704756072}
{'reward_ctrl': -0.22043385421812339, 'reward_dist': -0.13737541233773645}
{'reward_ctrl': -0.76136630376897141, 'reward_dist': -0.13279484191848787}
{'reward_ctrl': -1.4790312329219, 'reward_dist': -0.12920138176721366}
{'reward_ctrl': -0.95695812973604522, 'reward_dist': -0.12775097942190611}
{'reward_ctrl': -1.095485685660847, 'reward_dist': -0.13074581277556771}
{'reward_ctrl': -1.1373458659613707, 'reward_dist': -0.13895588809942414}
{'reward_ctrl': -0.62843258477215902, 'reward_dist': -0.15004395768398118}
{'reward_ctrl': -0.65840882967861214, 'reward_dist': -0.16216082089710654}
{'reward_ctrl': -1.0033330845673947, 'reward_dist': -0.1747560015989062}
{'reward_ctrl': -0.58856980711065598, 'reward_dist': -0.18385844473516061}
{'reward_ctrl': -0.93050961804069832, 'reward_dist': -0.18869588560379244}
{'reward_ctrl': -0.077837551218215159, 'reward_dist': -0.19135180997178911}
{'reward_ctrl': -0.59644567379239855, 'reward_dist': -0.1928309618095625}
{'reward_ctrl': -0.79981660715711422, 'reward_dist': -0.19334628428765374}
{'reward_ctrl': -0.30451687951680689, 'reward_dist': -0.19323558524629803}
{'reward_ctrl': -1.171647015776363, 'reward_dist': -0.19305432123245281}
{'reward_ctrl': -1.7440857006797637, 'reward_dist': -0.19292581014342161}
{'reward_ctrl': -0.96155725802488179, 'reward_dist': -0.15759434588462237}
{'reward_ctrl': -0.81326634304613354, 'reward_dist': -0.16565723744038383}
{'reward_ctrl': -0.32121101959845433, 'reward_dist': -0.17577108684142256}
{'reward_ctrl': -1.3379704822905558, 'reward_dist': -0.17667280465960736}
{'reward_ctrl': -1.1583837813966842, 'reward_dist': -0.16527228661732996}
{'reward_ctrl': -0.79144245061748464, 'reward_dist': -0.14393914738715524}
{'reward_ctrl': -1.3809093941533535, 'reward_dist': -0.12233071323660828}
{'reward_ctrl': -0.3777532233336594, 'reward_dist': -0.091988399395504447}
{'reward_ctrl': -0.038420618293801237, 'reward_dist': -0.057590153921181449}
{'reward_ctrl': -0.72618498471780679, 'reward_dist': -0.048593891545254467}
{'reward_ctrl': -0.75421679332136071, 'reward_dist': -0.071389771573565436}
{'reward_ctrl': -0.94822038712295287, 'reward_dist': -0.1040050084067979}
{'reward_ctrl': -0.23404569920695673, 'reward_dist': -0.14445060160352891}
{'reward_ctrl': -0.28744545176617164, 'reward_dist': -0.18388643057240678}
{'reward_ctrl': -0.24512650281810847, 'reward_dist': -0.19984168507894839}
{'reward_ctrl': -0.73969288749413287, 'reward_dist': -0.19792036467176516}
{'reward_ctrl': -0.94076616243268929, 'reward_dist': -0.1946077093405251}
{'reward_ctrl': -0.61850431635855263, 'reward_dist': -0.19198351380331174}
{'reward_ctrl': -0.29520250681836663, 'reward_dist': -0.19139765849848056}
{'reward_ctrl': -0.23713433641831527, 'reward_dist': -0.1945857176885751}
{'reward_ctrl': -0.43382043449478358, 'reward_dist': -0.20304718523120985}
{'reward_ctrl': -0.83595802495233984, 'reward_dist': -0.2146973237387538}
{'reward_ctrl': -1.0753736806066121, 'reward_dist': -0.22746101354560583}
{'reward_ctrl': -0.15070840187697107, 'reward_dist': -0.23567712854977352}
{'reward_ctrl': -0.86836761433131004, 'reward_dist': -0.23734894468127876}
{'reward_ctrl': -0.94831504871220418, 'reward_dist': -0.23654125329064923}
{'reward_ctrl': -0.019776631027178845, 'reward_dist': -0.23292458428337207}
{'reward_ctrl': -0.13684821610472694, 'reward_dist': -0.2242017752048851}
{'reward_ctrl': -0.74883190244047093, 'reward_dist': -0.21502314930418945}
{'reward_ctrl': -0.87929877682206559, 'reward_dist': -0.20632302500036093}
{'reward_ctrl': -1.0443604589443258, 'reward_dist': -0.20662568180785035}
{'reward_ctrl': -0.015102347387064749, 'reward_dist': -0.21344841634249073}
{'reward_ctrl': -0.5906770844467979, 'reward_dist': -0.22246999720973748}
{'reward_ctrl': -0.24178805984466781, 'reward_dist': -0.23028242244869121}
{'reward_ctrl': -0.79744551893351945, 'reward_dist': -0.23706888972226295}
{'reward_ctrl': -0.2781168983313464, 'reward_dist': -0.24545383740598248}
{'reward_ctrl': -0.33779152870075624, 'reward_dist': -0.25504274946975969}
{'reward_ctrl': -0.73129339717302888, 'reward_dist': -0.26500399405928865}
{'reward_ctrl': -1.1947275020378547, 'reward_dist': -0.27279860896377123}
{'reward_ctrl': -0.040121904491248639, 'reward_dist': -0.28126235421516627}
{'reward_ctrl': -0.51918129244719247, 'reward_dist': -0.29376201544675445}
{'reward_ctrl': -0.83971512545603022, 'reward_dist': -0.30530830583081769}
{'reward_ctrl': -1.0801789272342659, 'reward_dist': -0.31432756187089961}
{'reward_ctrl': -0.86221515167225293, 'reward_dist': -0.31969559440469703}
{'reward_ctrl': -0.10772162965871013, 'reward_dist': -0.3142524868501253}
{'reward_ctrl': -0.78796424432426071, 'reward_dist': -0.29490221014386336}
{'reward_ctrl': -0.72024448129468843, 'reward_dist': -0.26891584579026034}
{'reward_ctrl': -1.7138788422876856, 'reward_dist': -0.24249630281043077}
{'reward_ctrl': -0.16580434100177804, 'reward_dist': -0.21635348245042396}
{'reward_ctrl': -1.3320672255696138, 'reward_dist': -0.19219075456728615}
{'reward_ctrl': -0.77616322860530174, 'reward_dist': -0.37664832868683817}
{'reward_ctrl': -1.4344066392821488, 'reward_dist': -0.37619623677843961}
{'reward_ctrl': -0.55449144025108155, 'reward_dist': -0.37529266188272725}
{'reward_ctrl': -0.40583313925883219, 'reward_dist': -0.37287153366776971}
{'reward_ctrl': -0.92448602461841189, 'reward_dist': -0.37005092669135753}
{'reward_ctrl': -0.9588301357409531, 'reward_dist': -0.36956500288229377}
{'reward_ctrl': -0.99237311554048202, 'reward_dist': -0.37182678703204081}
{'reward_ctrl': -0.55466328794633857, 'reward_dist': -0.37620978120028775}
{'reward_ctrl': -1.4969155607104585, 'reward_dist': -0.37939349479853923}
{'reward_ctrl': -0.64755959056436274, 'reward_dist': -0.37647721319856448}
{'reward_ctrl': -1.8614287038090915, 'reward_dist': -0.36033969329642213}
{'reward_ctrl': -0.48748350595994155, 'reward_dist': -0.33477800385912754}
{'reward_ctrl': -0.07739524645195052, 'reward_dist': -0.30495091951539471}
{'reward_ctrl': -1.713929449686157, 'reward_dist': -0.26796533641757014}
{'reward_ctrl': -0.49998777191404398, 'reward_dist': -0.23044984591649173}
{'reward_ctrl': -0.3730882632484871, 'reward_dist': -0.1946046390298416}
{'reward_ctrl': -0.36797261157778227, 'reward_dist': -0.15689696733053965}
{'reward_ctrl': -0.024248265777738188, 'reward_dist': -0.11437372993553435}
{'reward_ctrl': -0.19335124633891129, 'reward_dist': -0.069540541851872348}
{'reward_ctrl': -0.19968984788579722, 'reward_dist': -0.024512881997449765}
{'reward_ctrl': -0.50985163274196577, 'reward_dist': -0.01857549008022558}
{'reward_ctrl': -1.5468249520912625, 'reward_dist': -0.054193513432019787}
{'reward_ctrl': -0.37773882552873939, 'reward_dist': -0.084479423758657898}
{'reward_ctrl': -1.3396232377680628, 'reward_dist': -0.11341597581635313}
{'reward_ctrl': -1.5356704893801543, 'reward_dist': -0.13555959089660277}
{'reward_ctrl': -1.1338576677238166, 'reward_dist': -0.14411182374282608}
{'reward_ctrl': -0.872401098335431, 'reward_dist': -0.14594663090478566}
{'reward_ctrl': -1.0976920704494904, 'reward_dist': -0.15043735058573082}
{'reward_ctrl': -0.92424440033400812, 'reward_dist': -0.15595591813894333}
{'reward_ctrl': -0.79574803569761321, 'reward_dist': -0.16006669191336309}
{'reward_ctrl': -0.26564880372638078, 'reward_dist': -0.16283651121687334}
{'reward_ctrl': -0.31078818647017736, 'reward_dist': -0.16560085327686155}
{'reward_ctrl': -0.70570172267847353, 'reward_dist': -0.16959563799525271}
{'reward_ctrl': -0.16321576242547861, 'reward_dist': -0.17478553025353585}
{'reward_ctrl': -0.73531444192082618, 'reward_dist': -0.17818430633469712}
{'reward_ctrl': -0.78354380891468345, 'reward_dist': -0.17776904425907367}
{'reward_ctrl': -0.6114275614633613, 'reward_dist': -0.17494885134812579}
{'reward_ctrl': -1.0266703462348077, 'reward_dist': -0.16791344511620995}
{'reward_ctrl': -1.0352879047637136, 'reward_dist': -0.1543503562275679}
{'reward_ctrl': -0.98701316426008912, 'reward_dist': -0.12993908279402708}
{'reward_ctrl': -0.90834824272937287, 'reward_dist': -0.094331768750353873}
{'reward_ctrl': -0.51066299600707499, 'reward_dist': -0.063671887018184353}
{'reward_ctrl': -0.58715230564733312, 'reward_dist': -0.055283589191273345}
{'reward_ctrl': -0.68025579397087521, 'reward_dist': -0.065169006603097851}
{'reward_ctrl': -0.88412019587047785, 'reward_dist': -0.085076486577169028}
{'reward_ctrl': -0.23684349932862769, 'reward_dist': -0.11907128967200872}
{'reward_ctrl': -0.66447234181827719, 'reward_dist': -0.15889971828649502}
{'reward_ctrl': -0.21941842178055318, 'reward_dist': -0.19922730545291242}
{'reward_ctrl': -0.046581811783235755, 'reward_dist': -0.23881323963411874}
{'reward_ctrl': -0.25332079604297314, 'reward_dist': -0.2715800419017334}
{'reward_ctrl': -0.20830230778351555, 'reward_dist': -0.39144059753984284}
{'reward_ctrl': -0.25368555401261322, 'reward_dist': -0.3913544288141042}
{'reward_ctrl': -0.83052169299396295, 'reward_dist': -0.39113494395581017}
{'reward_ctrl': -1.3398207133117439, 'reward_dist': -0.39082957332276125}
{'reward_ctrl': -0.25437355540414863, 'reward_dist': -0.39054591063926203}
{'reward_ctrl': -0.71711452903844131, 'reward_dist': -0.3903932366770132}
{'reward_ctrl': -0.36092919883998931, 'reward_dist': -0.3895241391953409}
{'reward_ctrl': -0.23720062683299875, 'reward_dist': -0.38796819360232992}
{'reward_ctrl': -0.44851806941934252, 'reward_dist': -0.38696862090854683}
{'reward_ctrl': -0.69952167220299455, 'reward_dist': -0.38546998435950869}
{'reward_ctrl': -0.19650885634160642, 'reward_dist': -0.38357986203462474}
{'reward_ctrl': -1.0596819777745328, 'reward_dist': -0.38218178954343746}
{'reward_ctrl': -1.0335546993653535, 'reward_dist': -0.37928255746495748}
{'reward_ctrl': -0.71644243051395939, 'reward_dist': -0.37236734178361081}
{'reward_ctrl': -0.7094463014178547, 'reward_dist': -0.36200393121729557}
{'reward_ctrl': -1.0041969368796455, 'reward_dist': -0.34779512233610993}
{'reward_ctrl': -0.25500561298007474, 'reward_dist': -0.32455042394871014}
{'reward_ctrl': -0.92771638640062637, 'reward_dist': -0.29339597949163926}
{'reward_ctrl': -0.17632396981413598, 'reward_dist': -0.25386118016852172}
{'reward_ctrl': -0.92418189649658866, 'reward_dist': -0.20590984578049726}
{'reward_ctrl': -1.0758837935578078, 'reward_dist': -0.1606158698911157}
{'reward_ctrl': -0.071813278588590185, 'reward_dist': -0.11278309340190421}
{'reward_ctrl': -1.7902773956692235, 'reward_dist': -0.060721450308795395}
{'reward_ctrl': -0.54799856341253794, 'reward_dist': -0.015117588097468963}
{'reward_ctrl': -0.110655382534316, 'reward_dist': -0.021193525685784177}
{'reward_ctrl': -0.98720504599708869, 'reward_dist': -0.051750112583797657}
{'reward_ctrl': -0.015031858177565978, 'reward_dist': -0.080998205674540413}
{'reward_ctrl': -0.81997429438907421, 'reward_dist': -0.10900109981319575}
{'reward_ctrl': -0.32864279463498958, 'reward_dist': -0.13744651188797286}
{'reward_ctrl': -0.65976089038214003, 'reward_dist': -0.17015182830984074}
{'reward_ctrl': -0.59388060619243932, 'reward_dist': -0.2005705253324527}
{'reward_ctrl': -1.476727586390095, 'reward_dist': -0.22615534713520002}
{'reward_ctrl': -0.71354088107559588, 'reward_dist': -0.24344784959891139}
{'reward_ctrl': -0.72360158881502168, 'reward_dist': -0.24813373787706056}
{'reward_ctrl': -1.312497743510916, 'reward_dist': -0.24508655985895228}
{'reward_ctrl': -1.5659289071788685, 'reward_dist': -0.23030409651747275}
{'reward_ctrl': -0.47225747639580001, 'reward_dist': -0.20738211950302596}
{'reward_ctrl': -0.97768580705417107, 'reward_dist': -0.18882200985154798}
{'reward_ctrl': -1.0580540635499418, 'reward_dist': -0.1719637038006234}
{'reward_ctrl': -0.67694423664512893, 'reward_dist': -0.15296479805016092}
{'reward_ctrl': -0.56560875412635947, 'reward_dist': -0.13399105054733351}
{'reward_ctrl': -0.73172750412969156, 'reward_dist': -0.11957944158512993}
{'reward_ctrl': -0.40962062363967044, 'reward_dist': -0.11515279856656098}
{'reward_ctrl': -1.6224115507711643, 'reward_dist': -0.11434658147331225}
{'reward_ctrl': -1.4355928609717141, 'reward_dist': -0.11684523931386952}
{'reward_ctrl': -0.86399173705437637, 'reward_dist': -0.12483632101637775}
{'reward_ctrl': -0.12248869465904783, 'reward_dist': -0.13293766958342393}
{'reward_ctrl': -1.1448305126611171, 'reward_dist': -0.13882918867367228}
{'reward_ctrl': -0.079413358633035044, 'reward_dist': -0.14705460501762566}
{'reward_ctrl': -0.97908125354924935, 'reward_dist': -0.15977865595759494}
{'reward_ctrl': -0.54174117610153361, 'reward_dist': -0.14693695299795961}
{'reward_ctrl': -0.89325290404320778, 'reward_dist': -0.14657012731430205}
{'reward_ctrl': -0.048008428238085918, 'reward_dist': -0.14594483883298176}
{'reward_ctrl': -0.46033448654275466, 'reward_dist': -0.14520845272836419}
{'reward_ctrl': -0.070614974803421257, 'reward_dist': -0.14422254247404609}
{'reward_ctrl': -0.11321648517607172, 'reward_dist': -0.14309078033634121}
{'reward_ctrl': -1.4229238636502854, 'reward_dist': -0.14176003703975826}
{'reward_ctrl': -0.74837281113473852, 'reward_dist': -0.13824536797137968}
{'reward_ctrl': -0.1344921834908363, 'reward_dist': -0.1326109749868552}
{'reward_ctrl': -1.0393387648697565, 'reward_dist': -0.12728466821009854}
{'reward_ctrl': -0.28382638877521094, 'reward_dist': -0.1231279431794533}
{'reward_ctrl': -0.46772687651405304, 'reward_dist': -0.12190022980585398}
{'reward_ctrl': -1.5149199085488594, 'reward_dist': -0.12210195085815539}
{'reward_ctrl': -0.43718198893327243, 'reward_dist': -0.12107401813756828}
{'reward_ctrl': -0.60474521593408492, 'reward_dist': -0.11793854453537886}
{'reward_ctrl': -1.0316079844543862, 'reward_dist': -0.11399467713632377}
{'reward_ctrl': -0.020278535378415504, 'reward_dist': -0.11145306463341208}
{'reward_ctrl': -1.1400714479282197, 'reward_dist': -0.11079090645805681}
{'reward_ctrl': -1.2035574422309314, 'reward_dist': -0.11046833040903765}
{'reward_ctrl': -0.27306143213407463, 'reward_dist': -0.11089016343945837}
{'reward_ctrl': -1.2446331579273737, 'reward_dist': -0.11236426559965315}
{'reward_ctrl': -0.9749625303492544, 'reward_dist': -0.11351586923039449}
{'reward_ctrl': -0.55343358604442405, 'reward_dist': -0.11142617315452352}
{'reward_ctrl': -0.2351002329016397, 'reward_dist': -0.10650508749068195}
{'reward_ctrl': -1.1731617843079469, 'reward_dist': -0.10112152937675435}
{'reward_ctrl': -0.026316885832649631, 'reward_dist': -0.093210214995563451}
{'reward_ctrl': -0.70534778136357978, 'reward_dist': -0.083932975569407431}
{'reward_ctrl': -1.296759171223195, 'reward_dist': -0.075696744596406768}
{'reward_ctrl': -0.59378658337231727, 'reward_dist': -0.064144921716233733}
{'reward_ctrl': -0.92883113874527146, 'reward_dist': -0.047505309505947772}
{'reward_ctrl': -0.53343570882282099, 'reward_dist': -0.031488310636187171}
{'reward_ctrl': -0.79509195920874909, 'reward_dist': -0.021883514425442896}
{'reward_ctrl': -0.077173776151250789, 'reward_dist': -0.01452161772345485}
{'reward_ctrl': -0.21393902690740757, 'reward_dist': -0.0050142276838558535}
{'reward_ctrl': -0.2602770677832193, 'reward_dist': -0.0098766580352576579}
{'reward_ctrl': -0.059300619216335101, 'reward_dist': -0.022292864825363471}
{'reward_ctrl': -0.79192124911782746, 'reward_dist': -0.034032034308887196}
{'reward_ctrl': -0.5099366304584444, 'reward_dist': -0.049611981377925878}
{'reward_ctrl': -0.21037687683067685, 'reward_dist': -0.053874391201172066}
{'reward_ctrl': -0.64298526321289595, 'reward_dist': -0.050304257640425655}
{'reward_ctrl': -0.16391908094236499, 'reward_dist': -0.048380423373371347}
{'reward_ctrl': -1.1089450907487153, 'reward_dist': -0.048195586921290709}
{'reward_ctrl': -0.65427835328443118, 'reward_dist': -0.047870329879693203}
{'reward_ctrl': -0.23785881488155639, 'reward_dist': -0.04701879787146148}
{'reward_ctrl': -1.472735845241044, 'reward_dist': -0.047223811184128189}
{'reward_ctrl': -1.4258942307480162, 'reward_dist': -0.050204896869959555}
{'reward_ctrl': -0.04155388585344668, 'reward_dist': -0.053224517860844152}
{'reward_ctrl': -0.075131609091077037, 'reward_dist': -0.054747083010854916}
{'reward_ctrl': -1.3079664875514017, 'reward_dist': -0.055042089854038731}
{'reward_ctrl': -0.47130157333087014, 'reward_dist': -0.054397013252514691}
{'reward_ctrl': -0.37151462897175996, 'reward_dist': -0.3133671309192182}
{'reward_ctrl': -1.3916817223840279, 'reward_dist': -0.31435576831882234}
{'reward_ctrl': -0.95043476639504609, 'reward_dist': -0.31798753672820645}
{'reward_ctrl': -0.97373053026424516, 'reward_dist': -0.32244288191381743}
{'reward_ctrl': -1.2625273902332443, 'reward_dist': -0.32279071414448129}
{'reward_ctrl': -0.47089883115336623, 'reward_dist': -0.3153638738339789}
{'reward_ctrl': -0.30671224313537926, 'reward_dist': -0.29909708223145015}
{'reward_ctrl': -0.84158245066243098, 'reward_dist': -0.27417205287987262}
