{'reward_dist': -0.3329504489643752, 'reward_ctrl': -0.19475688626170531}
{'reward_dist': -0.19792197562206101, 'reward_ctrl': -0.23791137865633236}
{'reward_dist': -0.19022946726470347, 'reward_ctrl': -0.66169912317242296}
{'reward_dist': -0.18739335120227477, 'reward_ctrl': -0.76025238176264232}
{'reward_dist': -0.18537322586657537, 'reward_ctrl': -0.24377384133677732}
{'reward_dist': -0.18261864872779401, 'reward_ctrl': -0.72948109348692169}
{'reward_dist': -0.1800507075272916, 'reward_ctrl': -0.57887002717867442}
{'reward_dist': -0.17700633591445636, 'reward_ctrl': -0.9511250204625693}
{'reward_dist': -0.17326273195414033, 'reward_ctrl': -1.4141124565025895}
{'reward_dist': -0.19663592668460608, 'reward_ctrl': -0.33806021261352404}
{'reward_dist': -0.19716763907366636, 'reward_ctrl': -1.0757379171199115}
{'reward_dist': -0.20222321196029111, 'reward_ctrl': -0.27569968990693222}
{'reward_dist': -0.20924278073530878, 'reward_ctrl': -0.054768220010652707}
{'reward_dist': -0.21519998937460233, 'reward_ctrl': -1.1266617984423699}
{'reward_dist': -0.22114532745615464, 'reward_ctrl': -0.4911787757981535}
{'reward_dist': -0.22612594075033945, 'reward_ctrl': -0.32329508064024892}
{'reward_dist': -0.23116041284266384, 'reward_ctrl': -0.43672053331063959}
{'reward_dist': -0.23789514744390028, 'reward_ctrl': -0.60737970669933361}
{'reward_dist': -0.24759932389191858, 'reward_ctrl': -0.73116119867331308}
{'reward_dist': -0.2588951975495053, 'reward_ctrl': -0.20296497825821075}
{'reward_dist': -0.26768775679473411, 'reward_ctrl': -0.91498183734615113}
{'reward_dist': -0.27086334143677376, 'reward_ctrl': -0.068470278570190141}
{'reward_dist': -0.26385346003942406, 'reward_ctrl': -1.0821909357189863}
{'reward_dist': -0.24829321799320078, 'reward_ctrl': -0.27889189242965273}
{'reward_dist': -0.23033201145731197, 'reward_ctrl': -0.076006157786937228}
{'reward_dist': -0.20999772447328782, 'reward_ctrl': -0.69427671150482939}
{'reward_dist': -0.19023659688386657, 'reward_ctrl': -0.052611789865213851}
{'reward_dist': -0.17139822398297896, 'reward_ctrl': -0.1159789352857989}
{'reward_dist': -0.14910832867048152, 'reward_ctrl': -0.11135534297412267}
{'reward_dist': -0.12514074440056278, 'reward_ctrl': -0.6991562437851061}
{'reward_dist': -0.1008715876167729, 'reward_ctrl': -0.63086889607169672}
{'reward_dist': -0.077240110200100562, 'reward_ctrl': -0.54130125370420568}
{'reward_dist': -0.064514789265451331, 'reward_ctrl': -1.3431368194482984}
{'reward_dist': -0.07728460922321323, 'reward_ctrl': -1.1789906815768527}
{'reward_dist': -0.099176442497789855, 'reward_ctrl': -1.033613140882482}
{'reward_dist': -0.10866270851981424, 'reward_ctrl': -0.50906012816335089}
{'reward_dist': -0.10719784024538255, 'reward_ctrl': -1.0504845319175655}
{'reward_dist': -0.10610799917764885, 'reward_ctrl': -0.39687941787562869}
{'reward_dist': -0.1061890296661688, 'reward_ctrl': -0.77692807247596063}
{'reward_dist': -0.10451915929418833, 'reward_ctrl': -0.16454561119247271}
{'reward_dist': -0.10131722102249295, 'reward_ctrl': -0.73417879203603131}
{'reward_dist': -0.10232141680758353, 'reward_ctrl': -1.4108668807118527}
{'reward_dist': -0.10893751232903816, 'reward_ctrl': -1.0321171120420662}
{'reward_dist': -0.11538267661356415, 'reward_ctrl': -0.642890910638241}
{'reward_dist': -0.12014029387468202, 'reward_ctrl': -0.79622866975236339}
{'reward_dist': -0.12658297698776508, 'reward_ctrl': -1.2872933899346544}
{'reward_dist': -0.13584357938892558, 'reward_ctrl': -0.64990367527992743}
{'reward_dist': -0.14933795556550139, 'reward_ctrl': -0.8286787859137843}
{'reward_dist': -0.16487286298825185, 'reward_ctrl': -1.0438401424645893}
{'reward_dist': -0.18157117197746261, 'reward_ctrl': -0.50874804287033593}
{'reward_dist': -0.19853391947446425, 'reward_ctrl': -0.29865771193922802}
{'reward_dist': -0.21365061271447267, 'reward_ctrl': -0.80612014045221336}
{'reward_dist': -0.23057594964346792, 'reward_ctrl': -0.037414001997979965}
{'reward_dist': -0.24807367412710787, 'reward_ctrl': -0.35328333277633583}
{'reward_dist': -0.26500228487131305, 'reward_ctrl': -0.37819840874093025}
{'reward_dist': -0.28016947088736754, 'reward_ctrl': -1.1837666021538076}
{'reward_dist': -0.2902818240835589, 'reward_ctrl': -0.22990247096696792}
{'reward_dist': -0.29777424328730961, 'reward_ctrl': -0.53857409236456433}
{'reward_dist': -0.30253005987825077, 'reward_ctrl': -0.79855760850880875}
{'reward_dist': -0.22790884112280996, 'reward_ctrl': -0.2958862225384169}
{'reward_dist': -0.2272861199568626, 'reward_ctrl': -0.47039366491872747}
{'reward_dist': -0.22397879647671667, 'reward_ctrl': -1.6528127708495042}
{'reward_dist': -0.21339703162520993, 'reward_ctrl': -0.1373029975503012}
{'reward_dist': -0.19828031558638629, 'reward_ctrl': -0.63474461363053369}
{'reward_dist': -0.18615561419362286, 'reward_ctrl': -1.2823184031071437}
{'reward_dist': -0.17870197624628439, 'reward_ctrl': -0.33044319071883588}
{'reward_dist': -0.17367342210485107, 'reward_ctrl': -1.1861399722855257}
{'reward_dist': -0.16607517947782105, 'reward_ctrl': -0.18389795983856352}
{'reward_dist': -0.15421012821192912, 'reward_ctrl': -0.46957196904283383}
{'reward_dist': -0.14325448303460722, 'reward_ctrl': -0.62201930792617943}
{'reward_dist': -0.13829739264290086, 'reward_ctrl': -0.56046050080298415}
{'reward_dist': -0.13656941161511271, 'reward_ctrl': -1.2153801765432379}
{'reward_dist': -0.13501783138291135, 'reward_ctrl': -0.46435094225678852}
{'reward_dist': -0.13303680472493684, 'reward_ctrl': -1.0137393950156368}
{'reward_dist': -0.13415818835152349, 'reward_ctrl': -0.57093895027910868}
{'reward_dist': -0.13564879827405069, 'reward_ctrl': -0.90130849212400255}
{'reward_dist': -0.13293365756957987, 'reward_ctrl': -0.36498414151844227}
{'reward_dist': -0.12733617095665067, 'reward_ctrl': -0.068639774237171255}
{'reward_dist': -0.12049892339059827, 'reward_ctrl': -0.22792206021730432}
{'reward_dist': -0.11477063123572472, 'reward_ctrl': -1.1146911326624354}
{'reward_dist': -0.11227559484231724, 'reward_ctrl': -0.54270364693566242}
{'reward_dist': -0.11292684393231386, 'reward_ctrl': -0.2313268268298459}
{'reward_dist': -0.11602042304579879, 'reward_ctrl': -0.41836644077547658}
{'reward_dist': -0.12023297407452865, 'reward_ctrl': -0.50510306590142495}
{'reward_dist': -0.12750685589040078, 'reward_ctrl': -0.85931191948145025}
{'reward_dist': -0.13877106410827372, 'reward_ctrl': -0.52892434457963211}
{'reward_dist': -0.14898418465051419, 'reward_ctrl': -1.3461059822143338}
{'reward_dist': -0.15431613267609082, 'reward_ctrl': -0.039441040571284516}
{'reward_dist': -0.15613542146361345, 'reward_ctrl': -1.0263514737751323}
{'reward_dist': -0.15357931186017623, 'reward_ctrl': -0.90773861563909231}
{'reward_dist': -0.14920179837291472, 'reward_ctrl': -1.6733429484840192}
{'reward_dist': -0.14985796670668047, 'reward_ctrl': -0.44073526416262498}
{'reward_dist': -0.15239336731469405, 'reward_ctrl': -0.22043385421812339}
{'reward_dist': -0.15504050606142764, 'reward_ctrl': -0.76136630376897141}
{'reward_dist': -0.16185763138799264, 'reward_ctrl': -1.4790312329219}
{'reward_dist': -0.16807178465291606, 'reward_ctrl': -0.95695812973604522}
{'reward_dist': -0.17311430690531521, 'reward_ctrl': -1.095485685660847}
{'reward_dist': -0.18210165422125349, 'reward_ctrl': -1.1373458659613707}
{'reward_dist': -0.19045521710149635, 'reward_ctrl': -0.62843258477215902}
{'reward_dist': -0.19432621476840045, 'reward_ctrl': -0.65840882967861214}
{'reward_dist': -0.19643203500867698, 'reward_ctrl': -1.0033330845673947}
{'reward_dist': -0.19637353281410097, 'reward_ctrl': -0.58856980711065598}
{'reward_dist': -0.19587956826024674, 'reward_ctrl': -0.93050961804069832}
{'reward_dist': -0.19253400928748779, 'reward_ctrl': -0.077837551218215159}
{'reward_dist': -0.18422141613572554, 'reward_ctrl': -0.59644567379239855}
{'reward_dist': -0.17697688760474858, 'reward_ctrl': -0.79981660715711422}
{'reward_dist': -0.17050378588215848, 'reward_ctrl': -0.30451687951680689}
{'reward_dist': -0.16392568449465778, 'reward_ctrl': -1.171647015776363}
{'reward_dist': -0.16010187729194747, 'reward_ctrl': -1.7440857006797637}
{'reward_dist': -0.16267902345367599, 'reward_ctrl': -0.96155725802488179}
{'reward_dist': -0.17158415766612242, 'reward_ctrl': -0.81326634304613354}
{'reward_dist': -0.18281953549413174, 'reward_ctrl': -0.32121101959845433}
{'reward_dist': -0.18391845302610552, 'reward_ctrl': -1.3379704822905558}
{'reward_dist': -0.1715368082223937, 'reward_ctrl': -1.1583837813966842}
{'reward_dist': -0.14878984354231092, 'reward_ctrl': -0.79144245061748464}
{'reward_dist': -0.12724546219339664, 'reward_ctrl': -1.3809093941533535}
{'reward_dist': -0.099542899358288098, 'reward_ctrl': -0.3777532233336594}
{'reward_dist': -0.076237696348256431, 'reward_ctrl': -0.038420618293801237}
{'reward_dist': -0.082488834674318334, 'reward_ctrl': -0.72618498471780679}
{'reward_dist': -0.10849159660908236, 'reward_ctrl': -0.75421679332136071}
{'reward_dist': -0.14123658272440204, 'reward_ctrl': -0.94822038712295287}
{'reward_dist': -0.18184740962478563, 'reward_ctrl': -0.23404569920695673}
{'reward_dist': -0.22143509545153084, 'reward_ctrl': -0.28744545176617164}
{'reward_dist': -0.24464742738810602, 'reward_ctrl': -0.24512650281810847}
{'reward_dist': -0.24389533792958221, 'reward_ctrl': -0.73969288749413287}
{'reward_dist': -0.24071307456650931, 'reward_ctrl': -0.94076616243268929}
{'reward_dist': -0.23857004319267638, 'reward_ctrl': -0.61850431635855263}
{'reward_dist': -0.23875272125020883, 'reward_ctrl': -0.29520250681836663}
{'reward_dist': -0.24262467134149077, 'reward_ctrl': -0.23713433641831527}
{'reward_dist': -0.25135035954268214, 'reward_ctrl': -0.43382043449478358}
{'reward_dist': -0.26293262708454262, 'reward_ctrl': -0.83595802495233984}
{'reward_dist': -0.27527165177039897, 'reward_ctrl': -1.0753736806066121}
{'reward_dist': -0.28272461290193662, 'reward_ctrl': -0.15070840187697107}
{'reward_dist': -0.28338386085989736, 'reward_ctrl': -0.86836761433131004}
{'reward_dist': -0.281732554183246, 'reward_ctrl': -0.94831504871220418}
{'reward_dist': -0.27739392961473164, 'reward_ctrl': -0.019776631027178845}
{'reward_dist': -0.26788018103889993, 'reward_ctrl': -0.13684821610472694}
{'reward_dist': -0.25819243001916503, 'reward_ctrl': -0.74883190244047093}
{'reward_dist': -0.25013310242300835, 'reward_ctrl': -0.87929877682206559}
{'reward_dist': -0.2467215055448268, 'reward_ctrl': -1.0443604589443258}
{'reward_dist': -0.25237060679956302, 'reward_ctrl': -0.015102347387064749}
{'reward_dist': -0.25996679730687772, 'reward_ctrl': -0.5906770844467979}
{'reward_dist': -0.2662760718459623, 'reward_ctrl': -0.24178805984466781}
{'reward_dist': -0.27165156500894, 'reward_ctrl': -0.79744551893351945}
{'reward_dist': -0.27879675387540709, 'reward_ctrl': -0.2781168983313464}
{'reward_dist': -0.28747372721821907, 'reward_ctrl': -0.33779152870075624}
{'reward_dist': -0.29693041026421385, 'reward_ctrl': -0.73129339717302888}
{'reward_dist': -0.30436613768115756, 'reward_ctrl': -1.1947275020378547}
{'reward_dist': -0.31268234951378743, 'reward_ctrl': -0.040121904491248639}
{'reward_dist': -0.32569954314406041, 'reward_ctrl': -0.51918129244719247}
{'reward_dist': -0.33841140492699945, 'reward_ctrl': -0.83971512545603022}
{'reward_dist': -0.3497414599322638, 'reward_ctrl': -1.0801789272342659}
{'reward_dist': -0.35890585484831056, 'reward_ctrl': -0.86221515167225293}
{'reward_dist': -0.35794657239590244, 'reward_ctrl': -0.10772162965871013}
{'reward_dist': -0.34262762201531571, 'reward_ctrl': -0.78796424432426071}
{'reward_dist': -0.3196548253517098, 'reward_ctrl': -0.72024448129468843}
{'reward_dist': -0.29539006128464512, 'reward_ctrl': -1.7138788422876856}
{'reward_dist': -0.27074833925642955, 'reward_ctrl': -0.16580434100177804}
{'reward_dist': -0.24728592648456557, 'reward_ctrl': -1.3320672255696138}
{'reward_dist': -0.30098563283440349, 'reward_ctrl': -0.77616322860530174}
{'reward_dist': -0.30110145557492912, 'reward_ctrl': -1.4344066392821488}
{'reward_dist': -0.30036113802952269, 'reward_ctrl': -0.55449144025108155}
{'reward_dist': -0.29895452628680663, 'reward_ctrl': -0.40583313925883219}
{'reward_dist': -0.29735529996741999, 'reward_ctrl': -0.92448602461841189}
{'reward_dist': -0.29589925268713063, 'reward_ctrl': -0.9588301357409531}
{'reward_dist': -0.29398083456094326, 'reward_ctrl': -0.99237311554048202}
{'reward_dist': -0.28921083295107841, 'reward_ctrl': -0.55466328794633857}
{'reward_dist': -0.28004402950641633, 'reward_ctrl': -1.4969155607104585}
{'reward_dist': -0.26336855363336148, 'reward_ctrl': -0.64755959056436274}
{'reward_dist': -0.23566582795078847, 'reward_ctrl': -1.8614287038090915}
{'reward_dist': -0.20575941063025893, 'reward_ctrl': -0.48748350595994155}
{'reward_dist': -0.17784959157669286, 'reward_ctrl': -0.07739524645195052}
{'reward_dist': -0.14981400930223604, 'reward_ctrl': -1.713929449686157}
{'reward_dist': -0.12769536149015762, 'reward_ctrl': -0.49998777191404398}
{'reward_dist': -0.11170044495550385, 'reward_ctrl': -0.3730882632484871}
{'reward_dist': -0.10084940830783387, 'reward_ctrl': -0.36797261157778227}
{'reward_dist': -0.09864167464821505, 'reward_ctrl': -0.024248265777738188}
{'reward_dist': -0.10631226830057677, 'reward_ctrl': -0.19335124633891129}
{'reward_dist': -0.11944175693446492, 'reward_ctrl': -0.19968984788579722}
{'reward_dist': -0.13265902912253583, 'reward_ctrl': -0.50985163274196577}
{'reward_dist': -0.14470033755837719, 'reward_ctrl': -1.5468249520912625}
{'reward_dist': -0.15272671068646115, 'reward_ctrl': -0.37773882552873939}
{'reward_dist': -0.15647310035981388, 'reward_ctrl': -1.3396232377680628}
{'reward_dist': -0.15747465606325112, 'reward_ctrl': -1.5356704893801543}
{'reward_dist': -0.15477500979999578, 'reward_ctrl': -1.1338576677238166}
{'reward_dist': -0.15306093700706563, 'reward_ctrl': -0.872401098335431}
{'reward_dist': -0.15367929569214783, 'reward_ctrl': -1.0976920704494904}
{'reward_dist': -0.15106302548570155, 'reward_ctrl': -0.92424440033400812}
{'reward_dist': -0.1432894070614959, 'reward_ctrl': -0.79574803569761321}
{'reward_dist': -0.13423281907712964, 'reward_ctrl': -0.26564880372638078}
{'reward_dist': -0.12688780204934899, 'reward_ctrl': -0.31078818647017736}
{'reward_dist': -0.12152978446638579, 'reward_ctrl': -0.70570172267847353}
{'reward_dist': -0.11692474670707198, 'reward_ctrl': -0.16321576242547861}
{'reward_dist': -0.11271969295700249, 'reward_ctrl': -0.73531444192082618}
{'reward_dist': -0.11124702828004174, 'reward_ctrl': -0.78354380891468345}
{'reward_dist': -0.11332691472251342, 'reward_ctrl': -0.6114275614633613}
{'reward_dist': -0.1171666362697852, 'reward_ctrl': -1.0266703462348077}
{'reward_dist': -0.1199147440453138, 'reward_ctrl': -1.0352879047637136}
{'reward_dist': -0.11822358298763984, 'reward_ctrl': -0.98701316426008912}
{'reward_dist': -0.10741849002183042, 'reward_ctrl': -0.90834824272937287}
{'reward_dist': -0.090266026695142595, 'reward_ctrl': -0.51066299600707499}
{'reward_dist': -0.077059498531651713, 'reward_ctrl': -0.58715230564733312}
{'reward_dist': -0.071179935386857143, 'reward_ctrl': -0.68025579397087521}
{'reward_dist': -0.072678929156890573, 'reward_ctrl': -0.88412019587047785}
{'reward_dist': -0.078120833115996643, 'reward_ctrl': -0.23684349932862769}
{'reward_dist': -0.08988689098340874, 'reward_ctrl': -0.66447234181827719}
{'reward_dist': -0.10728351320490304, 'reward_ctrl': -0.21941842178055318}
{'reward_dist': -0.12875712123101865, 'reward_ctrl': -0.046581811783235755}
{'reward_dist': -0.15049371646566376, 'reward_ctrl': -0.25332079604297314}
{'reward_dist': -0.13296469933776003, 'reward_ctrl': -0.20830230778351555}
{'reward_dist': -0.12912877815254134, 'reward_ctrl': -0.25368555401261322}
{'reward_dist': -0.1238648088810201, 'reward_ctrl': -0.83052169299396295}
{'reward_dist': -0.12184344311662436, 'reward_ctrl': -1.3398207133117439}
{'reward_dist': -0.12255131083561797, 'reward_ctrl': -0.25437355540414863}
{'reward_dist': -0.12105649738391736, 'reward_ctrl': -0.71711452903844131}
{'reward_dist': -0.1082539059564611, 'reward_ctrl': -0.36092919883998931}
{'reward_dist': -0.093504193274856248, 'reward_ctrl': -0.23720062683299875}
{'reward_dist': -0.087612543500768525, 'reward_ctrl': -0.44851806941934252}
{'reward_dist': -0.079547858196344051, 'reward_ctrl': -0.69952167220299455}
{'reward_dist': -0.071537627378480323, 'reward_ctrl': -0.19650885634160642}
{'reward_dist': -0.06824742118562066, 'reward_ctrl': -1.0596819777745328}
{'reward_dist': -0.058374589800701641, 'reward_ctrl': -1.0335546993653535}
{'reward_dist': -0.034795421816952943, 'reward_ctrl': -0.71644243051395939}
{'reward_dist': -0.010832226566247171, 'reward_ctrl': -0.7094463014178547}
{'reward_dist': -0.027593956340579252, 'reward_ctrl': -1.0041969368796455}
{'reward_dist': -0.072085439822732258, 'reward_ctrl': -0.25500561298007474}
{'reward_dist': -0.12310677564468529, 'reward_ctrl': -0.92771638640062637}
{'reward_dist': -0.17798843958098357, 'reward_ctrl': -0.17632396981413598}
{'reward_dist': -0.23191122872228831, 'reward_ctrl': -0.92418189649658866}
{'reward_dist': -0.27112522698396119, 'reward_ctrl': -1.0758837935578078}
{'reward_dist': -0.30290965511183904, 'reward_ctrl': -0.071813278588590185}
{'reward_dist': -0.32921891666343073, 'reward_ctrl': -1.7902773956692235}
{'reward_dist': -0.34698065037906145, 'reward_ctrl': -0.54799856341253794}
{'reward_dist': -0.35690066677415816, 'reward_ctrl': -0.110655382534316}
{'reward_dist': -0.36136604558720398, 'reward_ctrl': -0.98720504599708869}
{'reward_dist': -0.36544970703806307, 'reward_ctrl': -0.015031858177565978}
{'reward_dist': -0.36861356367834985, 'reward_ctrl': -0.81997429438907421}
{'reward_dist': -0.37103470117665566, 'reward_ctrl': -0.32864279463498958}
{'reward_dist': -0.37229150228786934, 'reward_ctrl': -0.65976089038214003}
{'reward_dist': -0.3687742780401751, 'reward_ctrl': -0.59388060619243932}
{'reward_dist': -0.3631077424157505, 'reward_ctrl': -1.476727586390095}
{'reward_dist': -0.35833481661202343, 'reward_ctrl': -0.71354088107559588}
{'reward_dist': -0.3551251214805744, 'reward_ctrl': -0.72360158881502168}
{'reward_dist': -0.35167774587412975, 'reward_ctrl': -1.312497743510916}
{'reward_dist': -0.34882338107246785, 'reward_ctrl': -1.5659289071788685}
{'reward_dist': -0.3476646558479628, 'reward_ctrl': -0.47225747639580001}
{'reward_dist': -0.34632954979624875, 'reward_ctrl': -0.97768580705417107}
{'reward_dist': -0.34510500455064735, 'reward_ctrl': -1.0580540635499418}
{'reward_dist': -0.34198488306918179, 'reward_ctrl': -0.67694423664512893}
{'reward_dist': -0.3325868125401199, 'reward_ctrl': -0.56560875412635947}
{'reward_dist': -0.3176477010719424, 'reward_ctrl': -0.73172750412969156}
{'reward_dist': -0.30315404757181136, 'reward_ctrl': -0.40962062363967044}
{'reward_dist': -0.29307155620861808, 'reward_ctrl': -1.6224115507711643}
{'reward_dist': -0.28842667942016725, 'reward_ctrl': -1.4355928609717141}
{'reward_dist': -0.28441801904437719, 'reward_ctrl': -0.86399173705437637}
{'reward_dist': -0.27400068811983574, 'reward_ctrl': -0.12248869465904783}
{'reward_dist': -0.26018396010290573, 'reward_ctrl': -1.1448305126611171}
{'reward_dist': -0.24209283836663262, 'reward_ctrl': -0.079413358633035044}
{'reward_dist': -0.22021140126710084, 'reward_ctrl': -0.97908125354924935}
{'reward_dist': -0.40832694277109582, 'reward_ctrl': -0.54174117610153361}
{'reward_dist': -0.40917868800221308, 'reward_ctrl': -0.89325290404320778}
{'reward_dist': -0.41048896210627467, 'reward_ctrl': -0.048008428238085918}
{'reward_dist': -0.41079888499804201, 'reward_ctrl': -0.46033448654275466}
{'reward_dist': -0.40996787786740158, 'reward_ctrl': -0.070614974803421257}
{'reward_dist': -0.40685230122068028, 'reward_ctrl': -0.11321648517607172}
{'reward_dist': -0.40047109089209737, 'reward_ctrl': -1.4229238636502854}
{'reward_dist': -0.39015363683479443, 'reward_ctrl': -0.74837281113473852}
{'reward_dist': -0.37427454482441092, 'reward_ctrl': -0.1344921834908363}
{'reward_dist': -0.35378877924712038, 'reward_ctrl': -1.0393387648697565}
{'reward_dist': -0.33549154251875152, 'reward_ctrl': -0.28382638877521094}
{'reward_dist': -0.3205013156693583, 'reward_ctrl': -0.46772687651405304}
{'reward_dist': -0.3094706169776586, 'reward_ctrl': -1.5149199085488594}
{'reward_dist': -0.30800576120856854, 'reward_ctrl': -0.43718198893327243}
{'reward_dist': -0.31568960979950667, 'reward_ctrl': -0.60474521593408492}
{'reward_dist': -0.32204326540191086, 'reward_ctrl': -1.0316079844543862}
{'reward_dist': -0.32004389495785912, 'reward_ctrl': -0.020278535378415504}
{'reward_dist': -0.31358645853001799, 'reward_ctrl': -1.1400714479282197}
{'reward_dist': -0.31227008672800011, 'reward_ctrl': -1.2035574422309314}
{'reward_dist': -0.31093314387203108, 'reward_ctrl': -0.27306143213407463}
{'reward_dist': -0.30681788226342444, 'reward_ctrl': -1.2446331579273737}
{'reward_dist': -0.31087892630202352, 'reward_ctrl': -0.9749625303492544}
{'reward_dist': -0.32179413882709984, 'reward_ctrl': -0.55343358604442405}
{'reward_dist': -0.32980046108812167, 'reward_ctrl': -0.2351002329016397}
{'reward_dist': -0.3355483602836038, 'reward_ctrl': -1.1731617843079469}
{'reward_dist': -0.34006353534522021, 'reward_ctrl': -0.026316885832649631}
{'reward_dist': -0.34140691760365788, 'reward_ctrl': -0.70534778136357978}
{'reward_dist': -0.33900621025813438, 'reward_ctrl': -1.296759171223195}
{'reward_dist': -0.33041659021782066, 'reward_ctrl': -0.59378658337231727}
{'reward_dist': -0.31535147415299403, 'reward_ctrl': -0.92883113874527146}
{'reward_dist': -0.30015614236236138, 'reward_ctrl': -0.53343570882282099}
{'reward_dist': -0.29048026644150021, 'reward_ctrl': -0.79509195920874909}
{'reward_dist': -0.28183840100326046, 'reward_ctrl': -0.077173776151250789}
{'reward_dist': -0.27140066120757744, 'reward_ctrl': -0.21393902690740757}
{'reward_dist': -0.25916025094229711, 'reward_ctrl': -0.2602770677832193}
{'reward_dist': -0.24676553376019991, 'reward_ctrl': -0.059300619216335101}
{'reward_dist': -0.23525147613421965, 'reward_ctrl': -0.79192124911782746}
{'reward_dist': -0.2206537174874228, 'reward_ctrl': -0.5099366304584444}
{'reward_dist': -0.2131417441700342, 'reward_ctrl': -0.21037687683067685}
{'reward_dist': -0.21545458328367761, 'reward_ctrl': -0.64298526321289595}
{'reward_dist': -0.21698616329847534, 'reward_ctrl': -0.16391908094236499}
{'reward_dist': -0.21721996029883597, 'reward_ctrl': -1.1089450907487153}
{'reward_dist': -0.21791217718389402, 'reward_ctrl': -0.65427835328443118}
{'reward_dist': -0.22001061590568308, 'reward_ctrl': -0.23785881488155639}
{'reward_dist': -0.22279494458339166, 'reward_ctrl': -1.472735845241044}
{'reward_dist': -0.22323233017892422, 'reward_ctrl': -1.4258942307480162}
{'reward_dist': -0.21972566304506821, 'reward_ctrl': -0.04155388585344668}
{'reward_dist': -0.21528380199088779, 'reward_ctrl': -0.075131609091077037}
{'reward_dist': -0.21217127990623255, 'reward_ctrl': -1.3079664875514017}
{'reward_dist': -0.21120418315502906, 'reward_ctrl': -0.47130157333087014}
{'reward_dist': -0.11941353642837077, 'reward_ctrl': -0.37151462897175996}
{'reward_dist': -0.11497324596697867, 'reward_ctrl': -1.3916817223840279}
{'reward_dist': -0.095675774931647958, 'reward_ctrl': -0.95043476639504609}
{'reward_dist': -0.05791194224772285, 'reward_ctrl': -0.97373053026424516}
{'reward_dist': -0.012944482271417616, 'reward_ctrl': -1.2625273902332443}
{'reward_dist': -0.063013798605787569, 'reward_ctrl': -0.47089883115336623}
{'reward_dist': -0.13078026471664747, 'reward_ctrl': -0.30671224313537926}
{'reward_dist': -0.1926279222425091, 'reward_ctrl': -0.84158245066243098}
